,Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
0,16/01/2021,India,48276.0,3455.0,2957.0,48276.0,0.0,0.0,0.0,0.0,579.0,47697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23757.0,24517.0,2.0,48276.0
1,17/01/2021,India,58604.0,8532.0,4954.0,58604.0,0.0,0.0,0.0,0.0,635.0,57969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27348.0,31252.0,4.0,58604.0
2,18/01/2021,India,99449.0,13611.0,6583.0,99449.0,0.0,0.0,0.0,0.0,1299.0,98150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41361.0,58083.0,5.0,99449.0
3,19/01/2021,India,195525.0,17855.0,7951.0,195525.0,0.0,0.0,0.0,0.0,3017.0,192508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81901.0,113613.0,11.0,195525.0
4,20/01/2021,India,251280.0,25472.0,10504.0,251280.0,0.0,0.0,0.0,0.0,3946.0,247334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98111.0,153145.0,24.0,251280.0
5,21/01/2021,India,365965.0,32226.0,12600.0,365965.0,0.0,0.0,0.0,0.0,5367.0,360598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132784.0,233143.0,38.0,365965.0
6,22/01/2021,India,549381.0,36988.0,14115.0,549381.0,0.0,0.0,0.0,0.0,8128.0,541253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193899.0,355402.0,80.0,549381.0
7,23/01/2021,India,759008.0,43076.0,15605.0,759008.0,0.0,0.0,0.0,0.0,11192.0,747816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267856.0,491049.0,103.0,759008.0
8,24/01/2021,India,835058.0,49851.0,18111.0,835058.0,0.0,0.0,0.0,0.0,13156.0,821902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296283.0,538647.0,128.0,835058.0
9,25/01/2021,India,1277104.0,55151.0,19682.0,1277104.0,0.0,0.0,0.0,0.0,18858.0,1258246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444137.0,832766.0,201.0,1277104.0
10,26/01/2021,India,1293784.0,60821.0,21467.0,1293784.0,0.0,0.0,0.0,0.0,19604.0,1274180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449119.0,844448.0,217.0,1293784.0
